epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.81819,1.45225,2.86195,1.16234,0.00333,1,0.90132,0.45327,1.06913,3.4707,1.02213,0.00064,0.00064,0.00064
2,16.6831,1.44142,1.91156,1.1667,1,0.14015,0.94426,0.56267,1.1561,2.95191,1.1162,0.00127426,0.00127426,0.00127426
3,24.4736,1.35574,1.80382,1.10605,0.9246,0.95243,0.98116,0.6156,1.25546,2.20439,1.21194,0.00188238,0.00188238,0.00188238
4,32.2895,1.38863,1.62722,1.11514,0.95297,0.96117,0.99183,0.61473,1.33213,1.58369,1.22565,0.0018812,0.0018812,0.0018812
5,40.106,1.41705,1.49853,1.11567,1,0.9679,0.99481,0.5464,1.42603,1.61479,1.26666,0.0018416,0.0018416,0.0018416
6,47.9192,1.35594,1.32235,1.08675,0.97075,0.96656,0.99191,0.64727,1.18904,1.39978,1.14643,0.001802,0.001802,0.001802
7,55.8491,1.31076,1.23746,1.08154,0.99018,0.97903,0.99337,0.59418,1.26504,1.12264,1.20301,0.0017624,0.0017624,0.0017624
8,63.7608,1.32033,1.15836,1.05847,0.98985,0.97087,0.99433,0.64629,1.11702,1.29551,1.16404,0.0017228,0.0017228,0.0017228
9,71.5763,1.31358,1.11278,1.1039,0.98585,0.98058,0.99354,0.66787,1.09046,1.0354,1.11289,0.0016832,0.0016832,0.0016832
10,79.4582,1.26071,1.01186,1.05364,0.99034,0.99556,0.995,0.67339,1.15654,0.92669,1.12628,0.0016436,0.0016436,0.0016436
11,87.5737,1.2426,0.97692,1.04264,0.95884,1,0.9932,0.67049,1.15334,0.92559,1.11529,0.001604,0.001604,0.001604
12,95.3812,1.25454,0.9502,1.02567,0.92317,0.97087,0.98182,0.6429,1.23002,0.91935,1.14685,0.0015644,0.0015644,0.0015644
13,103.212,1.24895,0.95081,1.03576,0.9435,0.97272,0.98984,0.66224,1.19461,0.90582,1.13869,0.0015248,0.0015248,0.0015248
14,111.164,1.23361,0.90897,1.05094,0.9902,0.98106,0.99481,0.60887,1.23881,0.95575,1.16741,0.0014852,0.0014852,0.0014852
15,119.022,1.18845,0.86998,1.01896,0.9966,1,0.995,0.63251,1.2405,0.78467,1.14356,0.0014456,0.0014456,0.0014456
16,126.86,1.17486,0.81964,1.01262,0.97972,1,0.9949,0.61399,1.27326,0.79739,1.16302,0.001406,0.001406,0.001406
17,134.712,1.21528,0.83427,1.02312,0.99559,1,0.995,0.61724,1.24175,0.70532,1.13246,0.0013664,0.0013664,0.0013664
18,142.638,1.17748,0.78798,1.0167,0.98132,1,0.99481,0.68271,1.07588,0.63017,1.06489,0.0013268,0.0013268,0.0013268
19,150.569,1.19304,0.81287,0.99225,0.98751,1,0.9925,0.65969,1.14239,0.6713,1.07481,0.0012872,0.0012872,0.0012872
